"PERSNR","NAME","STAND","BERUF"
1,"Decker    ","ledig          ","Student        "
2,"Meier     ","verheiratet    ","Maurer         "
3,"Huber     ","ledig          ","Schlosser      "
4,"Bauer     ","verwitwet      ","Beamter        "
5,"Kaiser    ","verheiratet    ","Beamter        "
6,"Richter   ","ledig          ","Anwalt         "
7,"Weiss     ","ledig          ","Maler          "
8,"Traxler   ","verheiratet    ","Student        "
9,"Seyfried  ","ledig          ",""
10,"Weikinger ","ledig          ","Lehrer         "
11,"Rechberger","verheiratet    ","Hausmeister    "
13,"Kofler    ","ledig          ","Autor          "
14,"Seberry   ","ledig          ","Autor          "
